Date,State,Population,Confirmed,Recovered,Deceased,Tested
Sun Mar 22 00:00:00 GMT+05:30 2020,BR,119520000,2,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,CH,1179000,6,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,CT,28724000,1,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,DL,19814000,28,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,GJ,67936000,18,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,HP,7300000,2,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,HR,28672000,21,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,JK,13203000,4,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,KA,65798000,26,1,1,
Sun Mar 22 00:00:00 GMT+05:30 2020,KL,35125000,67,3,,
Sun Mar 22 00:00:00 GMT+05:30 2020,LA,293000,13,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,MH,122153000,74,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,MP,82232000,6,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,OR,43671000,2,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,PB,29859000,21,,,3675493
Sun Mar 22 00:00:00 GMT+05:30 2020,PY,1504000,1,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,RJ,77264000,29,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,TG,37220000,27,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,TN,75695000,9,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,TT,1332900000,403,4,1,18127
Sun Mar 22 00:00:00 GMT+05:30 2020,UP,224979000,30,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,UT,11141000,3,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,WB,96906000,7,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,AP,52221000,7,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,BR,119520000,3,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,CH,1179000,7,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,CT,28724000,1,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,DL,19814000,30,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,GJ,67936000,30,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,HP,7300000,3,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,HR,28672000,28,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,JK,13203000,4,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,KA,65798000,33,1,1,
Mon Mar 23 00:00:00 GMT+05:30 2020,KL,35125000,95,3,,
Mon Mar 23 00:00:00 GMT+05:30 2020,LA,293000,13,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,MH,122153000,89,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,MP,82232000,6,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,OR,43671000,2,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,PB,29859000,23,,,3675493
Mon Mar 23 00:00:00 GMT+05:30 2020,PY,1504000,1,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,RJ,77264000,32,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,TG,37220000,33,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,TN,75695000,12,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,TT,1332900000,497,4,1,20707
Mon Mar 23 00:00:00 GMT+05:30 2020,UP,224979000,34,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,UT,11141000,4,,,
Mon Mar 23 00:00:00 GMT+05:30 2020,WB,96906000,7,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,AP,52221000,8,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,BR,119520000,3,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,CH,1179000,7,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,CT,28724000,1,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,DL,19814000,30,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,GJ,67936000,36,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,HP,7300000,3,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,HR,28672000,30,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,JK,13203000,6,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,KA,65798000,41,3,1,
Tue Mar 24 00:00:00 GMT+05:30 2020,KL,35125000,109,3,,
Tue Mar 24 00:00:00 GMT+05:30 2020,LA,293000,13,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,MH,122153000,107,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,MN,3103000,1,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,MP,82232000,7,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,OR,43671000,2,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,PB,29859000,29,,,3675493
Tue Mar 24 00:00:00 GMT+05:30 2020,PY,1504000,1,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,RJ,77264000,32,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,TG,37220000,39,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,TN,75695000,18,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,TT,1332900000,571,6,1,22694
Tue Mar 24 00:00:00 GMT+05:30 2020,UP,224979000,35,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,UT,11141000,4,,,
Tue Mar 24 00:00:00 GMT+05:30 2020,WB,96906000,9,,,
Wed Mar 25 00:00:00 GMT+05:30 2020,AP,52221000,10,,,
Wed Mar 25 00:00:00 GMT+05:30 2020,BR,119520000,4,,,
Wed Mar 25 00:00:00 GMT+05:30 2020,CH,1179000,7,,,
Wed Mar 25 00:00:00 GMT+05:30 2020,CT,28724000,3,,,
Wed Mar 25 00:00:00 GMT+05:30 2020,DL,19814000,35,,,
Wed Mar 25 00:00:00 GMT+05:30 2020,GA,1540000,3,,,
Wed Mar 25 00:00:00 GMT+05:30 2020,GJ,67936000,38,,,
Wed Mar 25 00:00:00 GMT+05:30 2020,HP,7300000,3,,,
Wed Mar 25 00:00:00 GMT+05:30 2020,HR,28672000,31,,,
